frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
185,steady,0,20000,1202,835168,835168,0,25652,50000,30000,677171,688240,7711437,7640364,450,0.00921657,0,0
186,steady,0,20000,1204,835168,835168,0,25652,50000,30000,674684,688240,7713924,7640364,447,0.009536,0,0
187,steady,0,20000,1213,835168,835168,0,25652,50000,30000,679785,688240,7708823,7640364,442,0.0088806,0,0
188,steady,0,20000,1213,835168,835168,0,25652,50000,30000,677173,688240,7711435,7640364,440,0.00921631,0,0
189,steady,0,20000,1217,835168,835168,0,25652,50000,30000,679485,688240,7709123,7640364,442,0.00891917,0,0
190,steady,0,20000,1221,835168,835168,0,25652,50000,30000,683980,688240,7704628,7640364,441,0.00834096,0,0
191,steady,0,20000,1220,835168,835168,0,25652,50000,30000,684357,688240,7704251,7640364,442,0.00829243,0,0
192,steady,0,20000,1220,835168,835168,0,25652,50000,30000,684192,688240,7704416,7640364,446,0.00831367,0,0
193,steady,0,20000,1217,835168,835168,0,25652,50000,30000,679445,688240,7709163,7640364,446,0.00892432,0,0
194,steady,0,20000,1217,835168,835168,0,25652,50000,30000,679757,688240,7708851,7640364,442,0.0088842,0,0
195,steady,0,20000,1216,835168,835168,0,25652,50000,30000,680079,688240,7708529,7640364,443,0.0088428,0,0
196,steady,0,20000,1215,835168,835168,0,25652,50000,30000,680488,688240,7708120,7640364,445,0.00879021,0,0
197,steady,0,20000,1213,835168,835168,0,25652,50000,30000,678266,688240,7710342,7640364,447,0.00907586,0,0
198,steady,0,20000,1211,835168,835168,0,25652,50000,30000,679237,688240,7709371,7640364,450,0.00895105,0,0
199,steady,0,20000,1213,835168,835168,0,25652,50000,30000,682324,688240,7706284,7640364,450,0.00855406,0,0
200,steady,0,20000,1212,835168,835168,0,25652,50000,30000,680911,688240,7707697,7640364,454,0.00873581,0,0
201,steady,0,20000,1208,835168,835168,0,25652,50000,30000,680279,688240,7708329,7640364,455,0.00881709,0,0
202,steady,0,20000,1208,835168,835168,0,25652,50000,30000,681395,688240,7707213,7638353,455,0.00893449,0,0
203,steady,0,20000,1210,835168,835168,0,25652,50000,30000,683348,688240,7705260,7638353,457,0.00868329,0,0
204,steady,0,20000,1212,835168,835168,0,25652,50000,30000,685279,688240,7703329,7637323,460,0.0085685,0,0
